epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.0951,1.36323,1.88455,1.14469,0.61469,0.3382,0.37776,0.22299,1.26111,2.06824,1.13029,0.00023839,0.00023839,0.00023839
2,73.1519,1.25962,1.2363,1.12028,0.41695,0.38715,0.33045,0.19802,1.24983,2.08279,1.1686,0.000460489,0.000460489,0.000460489
3,106.625,1.28203,1.14235,1.13754,0.52207,0.3974,0.40097,0.23005,1.28998,1.26004,1.17909,0.000658226,0.000658226,0.000658226
4,143.39,1.26824,1.08724,1.13781,0.72981,0.32316,0.36688,0.20117,1.30087,1.8662,1.1831,0.000654804,0.000654804,0.000654804
5,178.122,1.26295,1.10856,1.13784,0.59702,0.34204,0.35708,0.20263,1.28525,1.03851,1.20051,0.000616738,0.000616738,0.000616738
6,209.175,1.20298,0.96285,1.09435,0.42481,0.5383,0.4534,0.25116,1.21158,1.01124,1.14136,0.000578672,0.000578672,0.000578672
7,245.741,1.21406,0.9602,1.1157,0.54868,0.50975,0.46544,0.2655,1.21004,0.96816,1.14021,0.000540607,0.000540607,0.000540607
8,278.931,1.16624,0.90229,1.08029,0.53659,0.48214,0.51005,0.30402,1.18049,0.86032,1.12253,0.000502541,0.000502541,0.000502541
9,321.787,1.14901,0.88855,1.08138,0.55367,0.4996,0.51197,0.28933,1.18825,0.85072,1.13808,0.000464476,0.000464476,0.000464476
10,357.169,1.13434,0.86097,1.06797,0.54961,0.509,0.51335,0.30095,1.16648,0.83834,1.11985,0.000426411,0.000426411,0.000426411
11,390.664,1.1016,0.85498,1.06669,0.61097,0.51656,0.52671,0.28762,1.18624,0.86343,1.12715,0.000388345,0.000388345,0.000388345
12,429.156,1.11783,0.82986,1.06857,0.65541,0.4281,0.51346,0.29761,1.18018,0.8571,1.14263,0.00035028,0.00035028,0.00035028
13,462.363,1.08043,0.78872,1.05374,0.68618,0.48941,0.53708,0.29989,1.1793,0.79472,1.12932,0.000312214,0.000312214,0.000312214
14,494.001,1.06454,0.78619,1.03805,0.59668,0.47141,0.53816,0.30946,1.14444,0.81245,1.10637,0.000274148,0.000274148,0.000274148
15,535.701,1.05047,0.74507,1.04048,0.71622,0.48193,0.56057,0.33518,1.12635,0.79866,1.09125,0.000236083,0.000236083,0.000236083
16,570.545,1.02718,0.73397,1.02689,0.65995,0.54081,0.60505,0.37572,1.10257,0.74549,1.08444,0.000198018,0.000198018,0.000198018
17,603.71,1.00342,0.70005,1.01437,0.70923,0.52419,0.59743,0.37211,1.08258,0.74823,1.07567,0.000159952,0.000159952,0.000159952
18,637.918,0.97722,0.69075,0.99947,0.72049,0.53343,0.6368,0.41139,1.06222,0.70999,1.07281,0.000121887,0.000121887,0.000121887
19,670.376,0.94361,0.64014,0.98685,0.70195,0.55528,0.64364,0.40676,1.04489,0.69483,1.06667,8.3821e-05,8.3821e-05,8.3821e-05
20,701.499,0.95352,0.63659,0.98511,0.79512,0.55322,0.66293,0.42498,1.03759,0.67941,1.06454,4.57555e-05,4.57555e-05,4.57555e-05
